Year, Population,
1960,3.03
1961,3.07
1962,3.12
1963,3.19
1964,3.26
1965,3.32
1966,3.39
1967,3.46
1968,3.53
1969,3.61
1970,3.68
1971,3.76
1972,3.84
1973,3.91
1974,3.99
1975,4.06
1976,4.14
1977,4.21
1978,4.28
1979,4.36
1980,4.43
1981,4.51
1982,4.59
1983,4.67
1984,4.76
1985,4.84
1986,4.92
1987,5.01
1988,5.10
1989,5.19
1990,5.28
1991,5.37
1992,5.45
1993,5.54
1994,5.62
1995,5.71
1996,5.79
1997,5.87
1998,5.95
1999,6.03
2000,6.11
2001,6.19
2002,6.27
2003,6.35
2004,6.43
2005,6.51
2006,6.59
2007,6.67
2008,6.76
2009,6.84
2010,6.92
2011,7.00
2012,7.09
2013,7.18
2014,7.26
2015,7.35
2016,7.43
2017,7.52
2018,7.60
2019,7.68
2020,7.76
2021,7.84
